epochs,train_loss,val_loss,train_acc,val_acc
0,1.958372,1.623065,0.294,0.3982
1,1.465635,1.395719,0.4658,0.4886
2,1.311961,1.309287,0.530356,0.5314
3,1.185782,1.190051,0.578289,0.5832
4,1.099486,1.160805,0.608289,0.5892
5,1.038874,1.15504,0.6332,0.5936
6,0.982342,1.1387,0.654244,0.6056
7,0.939652,1.155438,0.667867,0.611
8,0.891884,1.11542,0.684578,0.6124
9,0.857515,1.112332,0.699378,0.6212
10,0.814093,1.193821,0.710778,0.597
11,0.782473,1.117825,0.723156,0.6262
12,0.736075,1.152957,0.737556,0.6186
13,0.711896,1.191279,0.744644,0.609
14,0.689538,1.247513,0.7524,0.6142
15,0.667578,1.185229,0.760667,0.6236
16,0.627203,1.284698,0.769133,0.6004
17,0.610968,1.313483,0.781044,0.6106
18,0.59885,1.325982,0.782156,0.616
19,0.567206,1.332357,0.795467,0.611
20,0.536216,1.466032,0.8018,0.5986
21,0.527287,1.381639,0.807356,0.6084
22,0.500592,1.410189,0.811978,0.6044
23,0.494209,1.504357,0.819778,0.6056
24,0.490934,1.501396,0.822911,0.6104
25,0.456789,1.540383,0.8326,0.6076
26,0.46144,1.715843,0.833022,0.589
27,0.454782,1.623103,0.833956,0.5972
28,0.447138,1.648839,0.839356,0.6012
29,0.42408,1.699916,0.842756,0.601
0,1.936181,1.581568,0.309933,0.4288
1,1.468151,1.42893,0.4668,0.49
2,1.315231,1.322437,0.531511,0.5334
3,1.206432,1.219008,0.572111,0.566
4,1.122634,1.152627,0.601422,0.5976
5,1.042678,1.147965,0.633911,0.5992
6,0.978722,1.121211,0.650778,0.6046
7,0.93258,1.118024,0.672067,0.6166
8,0.880835,1.082267,0.688178,0.6338
9,0.857603,1.121153,0.698311,0.6286
10,0.811556,1.127137,0.711311,0.629
11,0.776684,1.118125,0.724844,0.6262
12,0.730719,1.143374,0.735622,0.6264
13,0.718679,1.118817,0.747511,0.6312
14,0.665883,1.130877,0.758733,0.631
15,0.648768,1.260995,0.768022,0.616
16,0.631967,1.174245,0.771422,0.6286
17,0.606286,1.269489,0.781822,0.6182
18,0.582159,1.282787,0.785622,0.6172
19,0.558641,1.261549,0.798978,0.6254
20,0.528995,1.328368,0.804267,0.6202
21,0.514641,1.344928,0.814156,0.623
22,0.49792,1.383975,0.814378,0.6176
23,0.492177,1.542102,0.817911,0.5956
24,0.484047,1.489518,0.826244,0.616
25,0.468605,1.485368,0.827622,0.6132
26,0.456446,1.57234,0.835422,0.6132
27,0.438097,1.628675,0.837289,0.5978
28,0.440256,1.613922,0.8412,0.6082
29,0.4192,1.613099,0.845489,0.6092
0,1.899428,1.537926,0.320489,0.4378
1,1.416298,1.360638,0.486911,0.4984
2,1.27864,1.296988,0.5498,0.5494
3,1.165943,1.190167,0.584489,0.5722
4,1.096807,1.186767,0.612667,0.5802
5,1.039858,1.136109,0.6304,0.5992
6,0.984045,1.086492,0.650978,0.6134
7,0.949054,1.132227,0.666867,0.6144
8,0.904435,1.168084,0.678133,0.5856
9,0.860792,1.146978,0.696778,0.6144
10,0.817756,1.075015,0.709444,0.638
11,0.782828,1.099347,0.721156,0.6256
12,0.741707,1.122618,0.731489,0.6278
13,0.728752,1.152264,0.740156,0.6262
14,0.693111,1.188488,0.75,0.615
15,0.672511,1.226357,0.760244,0.6186
16,0.637608,1.220575,0.770956,0.6282
17,0.625657,1.248508,0.7746,0.6248
18,0.593848,1.248621,0.780089,0.63
19,0.580976,1.302951,0.791,0.6234
20,0.542823,1.327341,0.801822,0.621
21,0.53483,1.437592,0.804867,0.6188
22,0.509279,1.402278,0.8132,0.6314
23,0.50543,1.463478,0.816733,0.6164
24,0.508167,1.453781,0.816244,0.6224
25,0.476434,1.516742,0.824733,0.6128
26,0.470038,1.546956,0.829222,0.618
27,0.450473,1.611304,0.835467,0.6148
28,0.440248,1.67198,0.841911,0.605
29,0.437145,1.722919,0.8412,0.607
0,1.938599,1.580183,0.305956,0.4172
1,1.474298,1.417604,0.462133,0.4846
2,1.316539,1.29263,0.527689,0.5362
3,1.209154,1.229749,0.569133,0.5612
4,1.133385,1.201376,0.598356,0.5806
5,1.070827,1.180655,0.620311,0.5876
6,1.010783,1.175653,0.6408,0.5924
7,0.975532,1.128643,0.656489,0.6084
8,0.911579,1.14488,0.674733,0.6076
9,0.879027,1.122222,0.690244,0.6154
10,0.838043,1.16341,0.702822,0.603
11,0.797416,1.182696,0.718333,0.6062
12,0.76112,1.206124,0.726067,0.6088
13,0.7412,1.151097,0.738,0.6198
14,0.704954,1.252828,0.745311,0.6028
15,0.679885,1.229663,0.756178,0.6168
16,0.64884,1.282166,0.762533,0.621
17,0.637678,1.263646,0.769289,0.6134
18,0.603362,1.313874,0.783578,0.6152
19,0.583072,1.33412,0.7882,0.6138
20,0.570066,1.393151,0.794044,0.617
21,0.553682,1.369891,0.7984,0.6144
22,0.514729,1.410813,0.808311,0.6088
23,0.507584,1.435731,0.812311,0.6066
24,0.496998,1.491411,0.819222,0.605
25,0.487035,1.575912,0.821022,0.5986
26,0.47498,1.63598,0.828,0.6
27,0.456055,1.614503,0.829867,0.5956
28,0.462879,1.772947,0.832644,0.6028
29,0.446339,1.636869,0.834933,0.5964
0,1.919565,1.545126,0.310689,0.442
1,1.454499,1.358559,0.4734,0.514
2,1.290269,1.277876,0.540578,0.5482
3,1.194083,1.211559,0.575022,0.5768
4,1.119652,1.167418,0.606178,0.5874
5,1.048899,1.197277,0.631467,0.5866
6,0.995453,1.158954,0.649511,0.5934
7,0.944239,1.117469,0.666,0.624
8,0.899348,1.103501,0.680533,0.6198
9,0.871066,1.103152,0.694022,0.621
10,0.832918,1.110533,0.705022,0.6294
11,0.811116,1.13684,0.714311,0.6182
12,0.77027,1.114283,0.724667,0.63
13,0.748037,1.144347,0.733933,0.6394
14,0.710302,1.200891,0.742933,0.6198
15,0.684562,1.180615,0.755378,0.6268
16,0.662449,1.246255,0.7612,0.6166
17,0.64586,1.238436,0.766867,0.622
18,0.613477,1.238688,0.775911,0.6248
19,0.609342,1.282796,0.778022,0.6216
20,0.579332,1.30929,0.788911,0.623
21,0.562322,1.352604,0.794156,0.6062
22,0.530344,1.357251,0.800644,0.6114
23,0.536207,1.379844,0.804644,0.6164
24,0.535259,1.423816,0.807733,0.613
25,0.496737,1.491867,0.816978,0.6108
26,0.486342,1.465395,0.824689,0.619
27,0.467425,1.524104,0.826933,0.6086
28,0.470206,1.611434,0.828778,0.6032
29,0.453637,1.60509,0.833311,0.6044
0,1.913396,1.580715,0.313867,0.4278
1,1.472341,1.443365,0.464822,0.4908
2,1.323336,1.297423,0.5262,0.5328
3,1.211847,1.26469,0.5682,0.5388
4,1.15325,1.223561,0.592556,0.5674
5,1.07268,1.162614,0.618556,0.5962
6,1.017146,1.262301,0.641622,0.5696
7,0.970393,1.110698,0.655644,0.6116
8,0.928599,1.153926,0.671933,0.6072
9,0.88748,1.100265,0.687444,0.6202
10,0.842998,1.105081,0.701178,0.6274
11,0.808692,1.099522,0.715778,0.6226
12,0.778735,1.130677,0.722,0.6304
13,0.748299,1.147165,0.735733,0.6164
14,0.727251,1.137767,0.740667,0.6336
15,0.687112,1.163154,0.7586,0.6256
16,0.655319,1.173792,0.761756,0.6196
17,0.639241,1.238361,0.772933,0.6202
18,0.61153,1.280206,0.776711,0.6118
19,0.596704,1.291377,0.7866,0.6144
20,0.571536,1.303066,0.790822,0.6172
21,0.554542,1.312866,0.799556,0.6162
22,0.527903,1.422833,0.805578,0.5984
23,0.519433,1.401271,0.811667,0.6054
24,0.51141,1.437997,0.816711,0.6182
25,0.486891,1.412889,0.8224,0.6134
26,0.487286,1.447626,0.824844,0.6064
27,0.466978,1.476564,0.8286,0.619
28,0.460821,1.578779,0.833844,0.6084
29,0.440584,1.584135,0.837467,0.6126
0,1.976367,1.588225,0.2818,0.4196
1,1.472132,1.41108,0.459978,0.4928
2,1.326931,1.284695,0.524733,0.537
3,1.206744,1.225065,0.569333,0.565
4,1.137667,1.178118,0.601333,0.5904
5,1.060157,1.12413,0.628289,0.6034
6,0.991849,1.109022,0.653667,0.6124
7,0.947693,1.110566,0.6696,0.618
8,0.901539,1.141307,0.684178,0.6098
9,0.862244,1.087408,0.698222,0.6368
10,0.812709,1.05206,0.714778,0.6498
11,0.78462,1.092916,0.725533,0.6378
12,0.737732,1.108953,0.738844,0.6304
13,0.715778,1.089327,0.745,0.6414
14,0.686645,1.129237,0.756067,0.6328
15,0.658456,1.181725,0.766622,0.6312
16,0.631336,1.135711,0.774533,0.6488
17,0.615274,1.149571,0.7782,0.6406
18,0.572569,1.235601,0.7924,0.632
19,0.564117,1.244188,0.795844,0.629
20,0.538347,1.26728,0.801222,0.6314
21,0.534027,1.299361,0.806444,0.6214
22,0.499734,1.350145,0.819222,0.6302
23,0.49571,1.396582,0.819778,0.6216
24,0.483434,1.340118,0.824756,0.6262
25,0.458262,1.410964,0.835111,0.6236
26,0.462014,1.445832,0.834089,0.628
27,0.426368,1.498078,0.844022,0.6234
28,0.435494,1.490798,0.843844,0.6282
29,0.414236,1.645256,0.849667,0.61
0,1.962925,1.587458,0.298111,0.4292
1,1.492357,1.411686,0.457578,0.4904
2,1.342407,1.366616,0.519733,0.515
3,1.221075,1.249686,0.566956,0.5512
4,1.149564,1.247635,0.596244,0.5692
5,1.081929,1.147897,0.619978,0.5954
6,1.022002,1.130786,0.638644,0.6044
7,0.972121,1.126539,0.657311,0.611
8,0.922113,1.137775,0.673689,0.6228
9,0.887543,1.150518,0.6886,0.6156
10,0.847458,1.124305,0.700378,0.6246
11,0.815972,1.242755,0.711956,0.6024
12,0.774699,1.201216,0.7242,0.608
13,0.748458,1.175872,0.734222,0.6208
14,0.707822,1.198761,0.744733,0.6158
15,0.693823,1.210924,0.751978,0.616
16,0.664497,1.261799,0.761222,0.6058
17,0.646492,1.24029,0.770356,0.613
18,0.620112,1.345289,0.775378,0.6084
19,0.586825,1.362182,0.786711,0.6048
20,0.547895,1.500937,0.799178,0.5892
21,0.574225,1.435934,0.7914,0.605
22,0.526635,1.432859,0.807467,0.6184
23,0.514271,1.506866,0.811067,0.5978
24,0.522442,1.564662,0.8138,0.5976
25,0.488401,1.577112,0.820733,0.5944
26,0.493536,1.595705,0.821378,0.6052
27,0.469967,1.660672,0.826556,0.5902
28,0.447561,1.665811,0.837356,0.5944
29,0.43008,1.662737,0.841444,0.6034
0,1.9507,1.601013,0.2976,0.4142
1,1.446214,1.399912,0.474644,0.487
2,1.298137,1.27758,0.536978,0.5382
3,1.189546,1.199717,0.5776,0.5756
4,1.111295,1.179615,0.6096,0.5964
5,1.047026,1.160723,0.629622,0.5988
6,1.000154,1.175319,0.645422,0.592
7,0.955761,1.112588,0.661956,0.6206
8,0.911706,1.112979,0.677822,0.6302
9,0.873405,1.127412,0.692911,0.6268
10,0.833291,1.124175,0.702578,0.611
11,0.807839,1.080629,0.713578,0.6394
12,0.771976,1.167156,0.723111,0.6096
13,0.754354,1.160959,0.732822,0.6208
14,0.710502,1.168739,0.743956,0.6304
15,0.690309,1.217923,0.754911,0.6226
16,0.66482,1.238794,0.760978,0.6098
17,0.64616,1.348183,0.767556,0.5942
18,0.614373,1.301868,0.776111,0.5982
19,0.607435,1.361902,0.780911,0.6144
20,0.565765,1.389504,0.786889,0.6098
21,0.572709,1.395589,0.792667,0.6114
22,0.534951,1.37168,0.8,0.608
23,0.51513,1.46608,0.8094,0.5988
24,0.53165,1.588125,0.807244,0.5804
25,0.497118,1.504196,0.817956,0.6044
26,0.498453,1.594176,0.818756,0.5892
27,0.468123,1.653433,0.825467,0.5862
28,0.479262,1.642558,0.828022,0.6042
29,0.434405,1.695521,0.8382,0.5918
0,1.995284,1.605378,0.276422,0.409
1,1.483319,1.391574,0.458756,0.4992
2,1.351016,1.336822,0.515956,0.519
3,1.243145,1.293737,0.556578,0.5456
4,1.157569,1.210288,0.587067,0.5658
5,1.089897,1.189135,0.614111,0.578
6,1.028414,1.154908,0.634044,0.6082
7,0.991939,1.121907,0.6486,0.6118
8,0.936896,1.144807,0.665756,0.6078
9,0.907127,1.1388,0.681022,0.61
10,0.866996,1.161739,0.689267,0.6098
11,0.831042,1.184886,0.7034,0.6176
12,0.782157,1.169279,0.716489,0.6134
13,0.76998,1.188608,0.725778,0.6112
14,0.738636,1.191334,0.733133,0.6102
15,0.713775,1.253992,0.744444,0.608
16,0.669486,1.270415,0.754511,0.604
17,0.661307,1.282485,0.760844,0.6066
18,0.636643,1.313339,0.766511,0.6096
19,0.620312,1.298636,0.777133,0.6024
20,0.577048,1.338949,0.785911,0.597
21,0.567973,1.40358,0.792756,0.5946
22,0.554729,1.493891,0.795156,0.5874
23,0.546667,1.457968,0.798378,0.6052
24,0.541756,1.48819,0.804778,0.6094
25,0.517221,1.559745,0.808844,0.596
26,0.515784,1.595945,0.814911,0.5924
27,0.48605,1.601019,0.820044,0.5886
28,0.48162,1.688479,0.824711,0.5784
29,0.458696,1.619913,0.826533,0.5814
